S.no,data_source,data_collection_date,url,other_metadata,tender_published_Date,tender_closing_date,tender_opening_date,tender_tile_and_id,tender_origanisation
11,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:30 PM,15-Feb-2023 03:00 PM,15-Feb-2023 03:05 PM,"[NIT No. 18, Item No. 02]
																				[EE(M-I)-NGZ/MCD/2022-23/18][2023_SDMC_144633_2]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
12,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:30 PM,15-Feb-2023 03:00 PM,15-Feb-2023 03:05 PM,"[NIT No. 18, Item No. 03]
																				[EE(M-I)-NGZ/MCD/2022-23/18][2023_SDMC_144633_3]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
13,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:30 PM,15-Feb-2023 03:00 PM,15-Feb-2023 03:05 PM,"[NIT No. 18, Item No. 13]
																				[EE(M-I)-NGZ/MCD/2022-23/18][2023_SDMC_144633_13]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
14,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:30 PM,15-Feb-2023 03:00 PM,15-Feb-2023 03:05 PM,"[NIT No. 18, Item No. 11]
																				[EE(M-I)-NGZ/MCD/2022-23/18][2023_SDMC_144633_11]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
15,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:30 PM,15-Feb-2023 03:00 PM,15-Feb-2023 03:05 PM,"[NIT No. 18, Item No. 12]
																				[EE(M-I)-NGZ/MCD/2022-23/18][2023_SDMC_144633_12]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
16,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:30 PM,15-Feb-2023 03:00 PM,15-Feb-2023 03:05 PM,"[NIT No. 18, Item No. 04]
																				[EE(M-I)-NGZ/MCD/2022-23/18][2023_SDMC_144633_4]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
17,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:30 PM,15-Feb-2023 03:00 PM,15-Feb-2023 03:05 PM,"[NIT No. 18, Item No. 05]
																				[EE(M-I)-NGZ/MCD/2022-23/18][2023_SDMC_144633_5]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
18,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:30 PM,15-Feb-2023 03:00 PM,15-Feb-2023 03:05 PM,"[NIT No. 18, Item No. 06]
																				[EE(M-I)-NGZ/MCD/2022-23/18][2023_SDMC_144633_6]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
19,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:30 PM,15-Feb-2023 03:00 PM,15-Feb-2023 03:05 PM,"[NIT No. 18, Item No. 07]
																				[EE(M-I)-NGZ/MCD/2022-23/18][2023_SDMC_144633_7]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
20,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:30 PM,15-Feb-2023 03:00 PM,15-Feb-2023 03:05 PM,"[NIT No. 18, Item No. 08]
																				[EE(M-I)-NGZ/MCD/2022-23/18][2023_SDMC_144633_8]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
21,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:30 PM,15-Feb-2023 03:00 PM,15-Feb-2023 03:05 PM,"[NIT No. 18, Item No. 09]
																				[EE(M-I)-NGZ/MCD/2022-23/18][2023_SDMC_144633_9]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
22,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:30 PM,15-Feb-2023 03:00 PM,15-Feb-2023 03:05 PM,"[NIT No. 18, Item No. 10]
																				[EE(M-I)-NGZ/MCD/2022-23/18][2023_SDMC_144633_10]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
23,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:20 PM,22-Feb-2023 11:00 AM,23-Feb-2023 11:30 AM,"[Engagement of user fee collection agency on the basis of CB through for Putru fee plaza at Km.274.500 for the section Jamshedpur-Mahulia Section from km.233.350 to km.277.500 (4 lane) of NH-33 (new NH -18) in Jharkhand]
																				[NHAI/13013/547 /CO/22-23/CB/Putru FP][2023_NHAI_144707_1]",National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
24,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:15 PM,01-Mar-2023 05:00 PM,03-Mar-2023 10:30 AM,"[Installation, Configuration and Maintenance of Cloud Based Infrastructure for hosting the SAP Applications of HLL]
																				[HLL/CHO/IT/CI/2023][2023_HLL_144677_1]",HLL Lifecare Limited||Corporate Head Office (Thiruvananthapuram) - HLL||IT Department - HLL
25,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:15 PM,18-Feb-2023 03:30 PM,20-Feb-2023 03:30 PM,"[Thyristor Power Controller etc]
																				[P/C/192/MR/DR/STE/22-23][2023_CSIR_144687_1]",Council of Scientific and Industrial Research||CGCRI-Kolkatta - CSIR||Purchase-CGCRI - CSIR
26,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,18-Feb-2023 06:00 PM,20-Feb-2023 10:00 AM,"[PUR/SEC/331/22 Automatic Pull Off Adhesion Tester.]
																				[PUR/SEC/331/22][2023_CSIR_144647_1]",Council of Scientific and Industrial Research||NIIST-Thiruvanthapuram - CSIR||Purchase-NIIST - CSIR
27,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,22-Feb-2023 03:00 PM,23-Feb-2023 03:00 PM,"[OPEN TENDER ENQUIRY FOR SUPPLY AND INSTALLATION OF ENDRESS AND HAUSER MAKE FLOWMETERS AND RADAR LEVEL TRANSMITTER AT HBL LAURIYA PLANT, WEST CHAMPARAN, BIHAR 845453.]
																				[HBL/TEN/PUB/22-23/306][2023_HPCLB_144673_1]",HPCL Biofuels Limited||Purchase (Patna)
28,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,14-Feb-2023 03:00 PM,14-Feb-2023 03:05 PM,"[Imp. to 80 Gaj Culvert by pdg. MS Wire, Mesh Grill in Ward No.97/WZ Chowkhandi Nagar.]
																				[ E.E.(M-I)/WZ/2022-23/TC/37/03][2023_SDMC_144672_1]",South Delhi Municipal Corporation||Enigeering Electric - SDMC
29,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,14-Feb-2023 03:00 PM,14-Feb-2023 03:05 PM,"[Construction of Foothpath by pdg. Colored interlocking tiles, Kerb Stone, etc. on Service Road of Rotak on Shivaji Park from corner of Maharaja Agrasen Hospital to entrance of Shivaji park in Ward No.002-S/WZ/West Punjabi Bagh.]
																				[E.E.(M-I)/WZ/2022-23/TC/37/01][2023_SDMC_144661_1]",South Delhi Municipal Corporation||Enigeering Electric - SDMC
30,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,01-Mar-2023 02:00 PM,02-Mar-2023 02:00 PM,"[SKM/B378-999-CI-T-8113/1035 (CIVIL AND STRL INCL. UG PIPING FOR PP UNIT )]
																				[SKM/B378-999-CI-T-8113/1035 ][2023_GAIL_144592_1]",GAIL (India) Limited||Project Management Consultant-PMC for GAIL India Ltd||ENGINEERS INDIA LIMITED-PMC
31,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,14-Feb-2023 12:00 PM,15-Feb-2023 12:10 PM,"[Re-development  of park]
																				[DDH/CLZ/2022-23/03-02][2023_MCD_144650_1]",Municipal Corporation of Delhi||Horticulture Department - MCD
32,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,15-Feb-2023 01:00 PM,16-Feb-2023 02:00 PM,"[Renovation strengthening of EI and fans  at AVD Gandhi nagar in ward no. 25E shah (s) zone. Sub  Head Provision  of E.I and Other allied work]
																				[EE (Elect)-II//2022-23/18.1][2023_EDMC_144663_1]",East Delhi Municipal Corporation (EDMC)||Enigeering Electric-2 SSZ
33,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,15-Feb-2023 01:00 PM,15-Feb-2023 01:30 PM,"[Construction of cross culvert at CPJ drain by pdg. B/W in ward no. 42E Seelampur Shah. North zone]
																				[EE(M)-IV/SHN/22-23/TC-12/01][2023_MCD_144603_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
34,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,14-Feb-2023 03:00 PM,14-Feb-2023 03:05 PM,"[P/F Long Heights M.S. Railing in Park Near ED-140, Tagore Garden by providing Steel Work, Rabbit Wire mesh etc. in Ward No.96/WZ Rajouri Garden.]
																				[E.E.(M-I)/WZ/2022-23/TC/37/02][2023_SDMC_144669_1]",South Delhi Municipal Corporation||Enigeering Electric - SDMC
35,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,14-Feb-2023 12:00 PM,15-Feb-2023 12:10 PM,"[Re-development  of park]
																				[DDH/CLZ/2022-23/03-01][2023_MCD_144639_1]",Municipal Corporation of Delhi||Horticulture Department - MCD
36,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,17-Feb-2023 06:00 PM,21-Feb-2023 04:00 PM,"[Removal of Initial Defect in TE Musaffirkhana ]
																				[06/EE(E)/BED- AD/2021-202][2023_BSNL_144635_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Allahabad
37,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,14-Feb-2023 12:00 PM,15-Feb-2023 12:10 PM,"[Development  of central verge]
																				[DDH/CLZ/2022-23/03-03][2023_MCD_144652_1]",Municipal Corporation of Delhi||Horticulture Department - MCD
38,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,15-Feb-2023 06:00 PM,18-Feb-2023 04:00 PM,"[Maintenance Works at BTS sites]
																				[101/CD-I/BSNL/Kol/22-23][2023_BSNL_144665_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Calcutta Telephone District||CE (Civil), Kolkata TD||SE (Civil), Kolkata TD"
39,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,15-Feb-2023 01:00 PM,15-Feb-2023 01:30 PM,"[Construction of Malaria office in Maujpur by pdg. B/W in Ward No. 228/40E Shah.N Zone]
																				[EE(M)-IV/SHN/22-23/TC-12/02][2023_MCD_144604_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
40,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,23-Feb-2023 12:00 PM,24-Feb-2023 12:05 PM,"[DE/CNTXW/KPR/PW04/PH IV/22-23 Dt 08.02.23 	]
																				[DE/CNTXW/KPR/PW04/PH IV/22-23 Dt 08.02.23][2023_BSNL_144459_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Region||WTR, Pune"
41,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,23-Feb-2023 12:00 PM,24-Feb-2023 12:05 PM,"[DE/CNTXW/KPR/PW05/PH IV/22-23 Dt 08.02.23]
																				[DE/CNTXW/KPR/PW05/PH IV/22-23 Dt 08.02.23][2023_BSNL_144461_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Region||WTR, Pune"
42,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,22-Feb-2023 02:00 PM,23-Feb-2023 02:30 PM,"[Providing Breakdown Maintenance of Split AC units in TE Buildings under Calicut BA  for a period of one year (2023-24).]
																				[KL CLT-17/13/9/ 2022 - PLG CLT KRL/7][2023_BSNL_140416_2]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Kerala Telecom Circle||O/o GMT, Kozhikode"
43,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,17-Feb-2023 06:00 PM,21-Feb-2023 04:00 PM,"[Removal of Initial Defect ]
																				[07/EE(E)/BED-AD/2021-202][2023_BSNL_144686_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Allahabad
44,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,02-Mar-2023 10:00 AM,03-Mar-2023 11:00 AM,"[Supply, Installation, Testing and Commissioning of Feeder / Transformer Protection Relay]
																				[NAL/PUR/ELK/319/22-Y][2023_CSIR_144582_1]",Council of Scientific and Industrial Research||NAL Bengaluru - CSIR||Purchase-NAL - CSIR
45,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,28-Feb-2023 02:00 PM,01-Mar-2023 03:00 PM,"[AC REPAIRING WORK IN GWALIOR BA]
																				[W-1-1442 / E-Tender / Repairing of AC / Gwalior BA][2023_BSNL_144593_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Madhya Pradesh Telecom Circle- Bhopal||O/o CGMT, MP Telecom Circle Bhopal"
46,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,27-Feb-2023 11:00 AM,28-Feb-2023 11:30 AM,"[ Earthing of equipment, wiring, panel erection, etc.]
																				[DVC/Tender/MHS(MAINT)/00013][2023_DVC_144619_1]",Damodar Valley Corporation||Maithon - DVC||C and M
47,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,03-Mar-2023 04:00 PM,04-Mar-2023 04:00 PM,"[SUPPLY OF STEEL CASTINGS]
																				[ILP/AD2/ADC031/22-23/TE2311][2023_ILTD_144692_1]",Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala)
48,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,15-Feb-2023 11:00 AM,16-Feb-2023 11:30 AM,"[Engagement of user fee collection agency on the basis of CB for Balana Fee plaza located at km 149.200 for Balotra - Sandrao section of NH-325 from Km 118.900 to Km 156.955 in the state of Rajasthan ]
																				[NHAI/13013/547/CO/22-23/ CB/Balana Fee Plaza][2023_NHAI_144704_1]",National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
49,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,15-Feb-2023 06:00 PM,18-Feb-2023 04:00 PM,"[Repairing of Union room no. 512]
																				[102/CD-I/BSNL/Kol/22-23][2023_BSNL_144688_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Calcutta Telephone District||CE (Civil), Kolkata TD||SE (Civil), Kolkata TD"
50,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,18-Feb-2023 03:00 PM,20-Feb-2023 03:00 PM,"[Repairing of Roat at Chatha]
																				[12W-(229)-338-2021][2023_CSIR_144702_1]",Council of Scientific and Industrial Research||IIIM-Jammu - CSIR||Admin-IIIM - CSIR
51,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,17-Feb-2023 06:00 PM,21-Feb-2023 04:00 PM,"[removal of Initial  defects]
																				[05/EE(E)/BED-AD/2021-2022][2023_BSNL_144586_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Allahabad
52,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,18-Feb-2023 03:30 PM,20-Feb-2023 03:30 PM,"[Service and trial of Z axis brake System for Zeiss CMM Model No. MICURA]
																				[P/C/204/YN/SKM/STE/22-23][2023_CSIR_144562_1]",Council of Scientific and Industrial Research||CGCRI-Kolkatta - CSIR||Purchase-CGCRI - CSIR
53,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,16-Feb-2023 10:00 AM,17-Feb-2023 11:00 AM,"[Comprehensive AMC for Air conditioning plant with various capacities]
																				[NAL/PUR/ELK/249/22-X][2023_CSIR_144594_1]",Council of Scientific and Industrial Research||NAL Bengaluru - CSIR||Purchase-NAL - CSIR
54,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,13-Feb-2023 06:00 PM,17-Feb-2023 11:00 AM,"[E TENDER FOR PROVIDE CHAINLINK AT TE MANPUR EXCH]
																				[E TENDER FOR PROVIDE CHAINLINK AT TE MANPUR EXCH][2023_BSNL_144605_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Chhattisgarh Telecom Circle- Raipur||SE Civil
55,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,13-Feb-2023 06:00 PM,17-Feb-2023 11:00 AM,"[REPR MNTC WORK AUTO EXCH BLDG RAIPUR]
																				[REPR MNTC WORK AUTO EXCH BLDG RAIPUR][2023_BSNL_144617_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Chhattisgarh Telecom Circle- Raipur||SE Civil
56,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,13-Feb-2023 06:00 PM,17-Feb-2023 11:00 AM,"[MTCE OF STAFF QTR DTO CAMPUS SEC 5 BHILAI]
																				[MTCE OF STAFF QTR DTO CAMPUS SEC 5 BHILAI][2023_BSNL_144615_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Chhattisgarh Telecom Circle- Raipur||SE Civil
57,Central Public Procurement portal,2023-02-08,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct,Any additional information about the data,08-Feb-2023 06:00 PM,28-Feb-2023 04:00 PM,01-Mar-2023 04:00 PM,"[Comprehensive AMC for 08 Nos. Hydrocarbon gas detectors controls along with control panel and accessories at LPG Berth for a period of  Three (03) years]
																				[No_65_2022_23_IM_EE_ MOF_FOF_ET_F47][2023_VPT_144565_1]",Visakhapatnam Port Trust||Mech. and Elec. Engineering - VPT||Electrical and Electronics - VPT
